,n_clusters,time,inertia,calinski,davies,silhouette,ARI,AMI,homo,compl,v-measure
0,2,2.2850406169891357,9951.123750680856,184.51931463536272,1.89269983649819,0.18099573282082196,0.01492976996944227,0.05181087523313495,0.033879763184133306,0.14729549369959027,0.055088498622467695
1,3,3.3759384155273438,8732.357384003137,173.90713231416981,2.0723351304726747,0.15207008184711698,0.07288878992931315,0.16006700397045825,0.1190829383072293,0.2686237132254793,0.16501394001588296
2,4,5.090025901794434,8023.507163039433,155.08959948918255,1.9388298084947024,0.14354538754638876,0.06742993864972076,0.16331295118202518,0.13324129814383226,0.23530310491170645,0.17014010195664503
3,5,5.433038711547852,7748.630274793861,129.05684738695524,2.0476483928155185,0.11942113572371778,0.06810714211031423,0.16680742213734415,0.14441220471211125,0.22351623549877767,0.17546059956022209
4,6,4.891400337219238,7443.809998649484,115.42307936683804,1.988783212190354,0.11309717790150113,0.08584588375267234,0.22323203916740972,0.19807013900670842,0.283041452035317,0.23305220989530795
5,7,4.237400770187378,7224.887334245301,103.96407911385198,1.9108270889998469,0.08961375136408659,0.08972417585098291,0.23581905868503536,0.2153227278155894,0.2902012601154362,0.24721646622277765
6,8,4.390011548995972,7241.558091571477,88.49352776122063,1.8440737260044118,0.06631476990291427,0.08034821996122875,0.22890483519738258,0.21229068130586218,0.2828525670043997,0.24254380672015138
7,9,4.180561304092407,7259.068979948068,76.87058324907414,1.7966669817689298,0.021813762703691078,0.08877603147448442,0.24125893282010177,0.22570322033097823,0.2979642347626024,0.2568480690378475
8,10,4.738043546676636,7091.887969989609,72.43577778151645,1.7515848596976702,0.05837380315592249,0.08640458903921187,0.23434849021400905,0.224680315188229,0.2870050148489739,0.252047003935725
9,11,4.750042676925659,7217.825559409431,62.28118344420048,1.6923769913862126,0.028149959939868976,0.08652729991927006,0.24168883750749054,0.2311799285836044,0.3009483588864473,0.261490402795538
10,12,4.786145448684692,7165.491040146284,57.62389533250011,1.5592406031598582,0.012302240477603739,0.07900956261916928,0.22401974711927225,0.21613867536824713,0.28075698703550817,0.2442462185509159
11,13,4.782597064971924,7116.761921853197,53.68666785886068,1.526076006132224,-0.002364627683462419,0.08293992001807247,0.22903527867357917,0.22326047758593595,0.28571927145253645,0.25065759932691256
12,14,5.502516508102417,7061.80483181521,50.47574396574953,1.5199469155766785,0.02345053393359847,0.0864055959865377,0.23658755349905888,0.23333607654572808,0.29350297051759155,0.25998388683160867
13,15,3.855217218399048,7311.717740178871,42.841556908684936,1.3044182960578972,0.05799756165750462,0.0784596542880291,0.228284901785677,0.2174194570944434,0.30210244602236574,0.2528592130842962
